,,,,MB-clonallines-nla-karyo-plate2c1_78,MB-clonallines-nla-karyo-plate2c1_80,MB-clonallines-nla-karyo-plate2c1_82,MB-clonallines-nla-karyo-plate2c1_76,MB-clonallines-nla-karyo-plate2c1_86,MB-clonallines-nla-karyo-plate2c1_74,MB-clonallines-nla-karyo-plate2c1_84,MB-clonallines-nla-karyo-plate2c1_72,MB-clonallines-nla-karyo-plate2c1_170,MB-clonallines-nla-karyo-plate2c1_50,MB-clonallines-nla-karyo-plate2c1_132,MB-clonallines-nla-karyo-plate2c1_103,MB-clonallines-nla-karyo-plate2c1_48,MB-clonallines-nla-karyo-plate2c1_54,MB-clonallines-nla-karyo-plate2c1_108,MB-clonallines-nla-karyo-plate2c1_52,MB-clonallines-nla-karyo-plate2c1_109,MB-clonallines-nla-karyo-plate2c1_120,MB-clonallines-nla-karyo-plate2c1_56,MB-clonallines-nla-karyo-plate2c1_158,MB-clonallines-nla-karyo-plate2c1_102,MB-clonallines-nla-karyo-plate2c1_38,MB-clonallines-nla-karyo-plate2c1_106,MB-clonallines-nla-karyo-plate2c1_111,MB-clonallines-nla-karyo-plate2c1_58,MB-clonallines-nla-karyo-plate2c1_30,MB-clonallines-nla-karyo-plate2c1_13,MB-clonallines-nla-karyo-plate2c1_130,MB-clonallines-nla-karyo-plate2c1_9,MB-clonallines-nla-karyo-plate2c1_39,MB-clonallines-nla-karyo-plate2c1_229,MB-clonallines-nla-karyo-plate2c1_35,MB-clonallines-nla-karyo-plate2c1_26,MB-clonallines-nla-karyo-plate2c1_34,MB-clonallines-nla-karyo-plate2c1_24,MB-clonallines-nla-karyo-plate2c1_25,MB-clonallines-nla-karyo-plate2c1_2,MB-clonallines-nla-karyo-plate2c1_127,MB-clonallines-nla-karyo-plate2c1_32,MB-clonallines-nla-karyo-plate2c1_36,MB-clonallines-nla-karyo-plate2c1_100,MB-clonallines-nla-karyo-plate2c1_27,MB-clonallines-nla-karyo-plate2c1_105,MB-clonallines-nla-karyo-plate2c1_28,MB-clonallines-nla-karyo-plate2c1_134,MB-clonallines-nla-karyo-plate2c1_83,MB-clonallines-nla-karyo-plate2c1_128,MB-clonallines-nla-karyo-plate2c1_77,MB-clonallines-nla-karyo-plate2c1_154,MB-clonallines-nla-karyo-plate2c1_125,MB-clonallines-nla-karyo-plate2c1_75,MB-clonallines-nla-karyo-plate2c1_16,MB-clonallines-nla-karyo-plate2c1_110,MB-clonallines-nla-karyo-plate2c1_99,MB-clonallines-nla-karyo-plate2c1_131,MB-clonallines-nla-karyo-plate2c1_122,MB-clonallines-nla-karyo-plate2c1_29,MB-clonallines-nla-karyo-plate2c1_152,MB-clonallines-nla-karyo-plate2c1_129,MB-clonallines-nla-karyo-plate2c1_101,MB-clonallines-nla-karyo-plate2c1_155,MB-clonallines-nla-karyo-plate2c1_33,MB-clonallines-nla-karyo-plate2c1_17,MB-clonallines-nla-karyo-plate2c1_168,MB-clonallines-nla-karyo-plate2c1_96,MB-clonallines-nla-karyo-plate2c1_98,MB-clonallines-nla-karyo-plate2c1_19,MB-clonallines-nla-karyo-plate2c1_6,MB-clonallines-nla-karyo-plate2c1_79,MB-clonallines-nla-karyo-plate2c1_124,MB-clonallines-nla-karyo-plate2c1_126,MB-clonallines-nla-karyo-plate2c1_148,MB-clonallines-nla-karyo-plate2c1_144,MB-clonallines-nla-karyo-plate2c1_146,MB-clonallines-nla-karyo-plate2c1_107,MB-clonallines-nla-karyo-plate2c1_73,MB-clonallines-nla-karyo-plate2c1_3,MB-clonallines-nla-karyo-plate2c1_53,MB-clonallines-nla-karyo-plate2c1_14,MB-clonallines-nla-karyo-plate2c1_366,MB-clonallines-nla-karyo-plate2c1_10,MB-clonallines-nla-karyo-plate2c1_87,MB-clonallines-nla-karyo-plate2c1_145,MB-clonallines-nla-karyo-plate2c1_157,MB-clonallines-nla-karyo-plate2c1_104,MB-clonallines-nla-karyo-plate2c1_12,MB-clonallines-nla-karyo-plate2c1_97,MB-clonallines-nla-karyo-plate2c1_20,MB-clonallines-nla-karyo-plate2c1_21,MB-clonallines-nla-karyo-plate2c1_7,MB-clonallines-nla-karyo-plate2c1_11,MB-clonallines-nla-karyo-plate2c1_121,MB-clonallines-nla-karyo-plate2c1_133,MB-clonallines-nla-karyo-plate2c1_135,MB-clonallines-nla-karyo-plate2c1_31,MB-clonallines-nla-karyo-plate2c1_159,MB-clonallines-nla-karyo-plate2c1_15,MB-clonallines-nla-karyo-plate2c1_172,MB-clonallines-nla-karyo-plate2c1_156,MB-clonallines-nla-karyo-plate2c1_1,MB-clonallines-nla-karyo-plate2c1_5,MB-clonallines-nla-karyo-plate2c1_85,MB-clonallines-nla-karyo-plate2c1_8,MB-clonallines-nla-karyo-plate2c1_150,MB-clonallines-nla-karyo-plate2c1_37,MB-clonallines-nla-karyo-plate2c1_55,MB-clonallines-nla-karyo-plate2c1_18,MB-clonallines-nla-karyo-plate2c1_153,MB-clonallines-nla-karyo-plate2c1_81,MB-clonallines-nla-karyo-plate2c1_123,MB-clonallines-nla-karyo-plate2c1_0,MB-clonallines-nla-karyo-plate2c1_147,MB-clonallines-nla-karyo-plate2c1_51,MB-clonallines-nla-karyo-plate2c1_149,MB-clonallines-nla-karyo-plate2c1_61,MB-clonallines-nla-karyo-plate2c1_151,MB-clonallines-nla-karyo-plate2c1_59,MB-clonallines-nla-karyo-plate2c1_4,MB-clonallines-nla-karyo-plate2c1_69
None,17,52500000,52750000,39.0,22.0,12.0,40.0,20.0,25.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,52500000,52750000,2.0,4.0,2.0,12.0,6.0,12.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,52750000,53000000,57.0,25.0,16.0,49.0,23.0,27.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,53000000,53250000,40.0,29.0,12.0,44.0,16.0,26.0,18.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,53250000,53500000,31.0,34.0,8.0,61.0,16.0,24.0,11.0,12.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,53250000,53500000,2.0,4.0,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,53500000,53750000,29.0,23.0,22.0,36.0,15.0,32.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,53500000,53750000,6.0,2.0,,6.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,53750000,54000000,30.0,10.0,4.0,20.0,11.0,14.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,54000000,54250000,38.0,19.0,12.0,49.0,10.0,27.0,16.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,54000000,54250000,12.0,4.0,2.0,6.0,8.0,8.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,54250000,54500000,31.0,10.0,6.0,31.0,8.0,13.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,54250000,54500000,18.0,8.0,4.0,20.0,6.0,8.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
129P2_OlaHsd,17,54500000,54750000,12.0,4.0,4.0,12.0,2.0,10.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,54500000,54750000,33.0,34.0,14.0,23.0,12.0,17.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,54750000,55000000,39.0,28.0,28.0,36.0,19.0,16.0,18.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,55000000,55250000,35.0,28.0,17.0,34.0,8.0,26.0,5.0,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,55000000,55250000,12.0,8.0,4.0,6.0,2.0,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,55250000,55500000,17.0,6.0,9.0,8.0,3.0,12.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,55250000,55500000,38.0,8.0,14.0,40.0,20.0,12.0,20.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,55500000,55750000,13.0,11.0,6.0,12.0,4.0,14.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,55500000,55750000,14.0,16.0,8.0,16.0,8.0,6.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,55750000,56000000,52.0,27.0,14.0,52.0,3.0,23.0,25.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,56250000,56500000,50.0,29.0,20.0,70.0,10.0,26.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,56250000,56500000,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,56500000,56750000,38.0,30.0,8.0,62.0,7.0,42.0,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,56500000,56750000,8.0,4.0,4.0,12.0,4.0,16.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,56750000,57000000,39.0,27.0,34.0,46.0,15.0,16.0,11.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,56750000,57000000,10.0,6.0,2.0,6.0,,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,57000000,57250000,2.0,4.0,,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,57000000,57250000,62.0,30.0,18.0,61.0,6.0,37.0,19.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,57250000,57500000,49.0,31.0,19.0,53.0,16.0,25.0,20.0,10.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,57500000,57750000,31.0,12.0,10.0,29.0,21.0,17.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,57500000,57750000,6.0,4.0,2.0,4.0,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,57750000,58000000,32.0,6.0,2.0,22.0,10.0,2.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,57750000,58000000,23.0,14.0,6.0,13.0,6.0,9.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,58000000,58250000,22.0,10.0,8.0,19.0,6.0,14.0,14.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,58000000,58250000,4.0,8.0,2.0,14.0,6.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,58250000,58500000,4.0,2.0,4.0,4.0,6.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,58250000,58500000,37.0,26.0,10.0,25.0,14.0,25.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,58500000,58750000,10.0,8.0,9.0,18.0,2.0,24.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,58500000,58750000,14.0,4.0,2.0,17.0,8.0,6.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,58750000,59000000,40.0,33.0,8.0,34.0,10.0,28.0,15.0,6.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,58750000,59000000,8.0,6.0,2.0,8.0,2.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,59000000,59250000,40.0,20.0,24.0,56.0,15.0,22.0,16.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,59250000,59500000,41.0,20.0,11.0,50.0,13.0,14.0,16.0,12.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,59500000,59750000,34.0,11.0,15.0,52.0,9.0,22.0,22.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,59750000,60000000,47.0,27.0,27.0,30.0,16.0,30.0,14.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,60000000,60250000,44.0,11.0,16.0,40.0,12.0,25.0,14.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,60250000,60500000,26.0,29.0,19.0,36.0,7.0,16.0,14.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,60500000,60750000,42.0,18.0,18.0,37.0,22.0,21.0,10.0,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,60750000,61000000,30.0,11.0,24.0,35.0,10.0,25.0,16.0,8.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,61000000,61250000,38.0,32.0,16.0,47.0,20.0,22.0,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,61250000,61500000,44.0,19.0,17.0,38.0,10.0,6.0,14.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,61500000,61750000,29.0,27.0,20.0,39.0,36.0,20.0,25.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,61750000,62000000,36.0,20.0,14.0,34.0,20.0,19.0,16.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,62000000,62250000,60.0,28.0,28.0,50.0,17.0,34.0,20.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,62250000,62500000,50.0,18.0,12.0,38.0,11.0,16.0,16.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,62250000,62500000,10.0,4.0,8.0,10.0,8.0,12.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,62500000,62750000,57.0,16.0,18.0,50.0,7.0,25.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,62500000,62750000,20.0,6.0,2.0,12.0,2.0,4.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,62750000,63000000,12.0,6.0,8.0,10.0,6.0,6.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,62750000,63000000,26.0,30.0,12.0,51.0,24.0,27.0,16.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,63000000,63250000,26.0,18.0,12.0,21.0,18.0,16.0,22.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,17,63000000,63250000,8.0,4.0,6.0,12.0,2.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,63250000,63500000,54.0,25.0,6.0,62.0,15.0,30.0,26.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,63500000,63750000,56.0,28.0,14.0,41.0,14.0,22.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,63750000,64000000,54.0,33.0,10.0,45.0,18.0,46.0,24.0,12.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,64000000,64250000,52.0,32.0,12.0,61.0,10.0,22.0,18.0,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,64250000,64500000,51.0,25.0,20.0,53.0,14.0,25.0,14.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,17,64500000,64750000,54.0,37.0,19.0,60.0,16.0,24.0,24.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
